// Test
// Raw infobox templates from the Wikipedia infoboxes
// WIKIPEDIA

<id_y9qq7a_1qm_bdtl1i>	<Campania>	<infobox/en/type>	"region of italy"@en
<id_1gaoy63_1qm_kbo2io>	<Carlo_Azeglio_Ciampi>	<infobox/en/type>	"president"@en
<id_7r55ul_1qm_vbv6yr>	<Forza_Italia>	<infobox/en/type>	"political party"@en
<id_1qqn7vt_1qm_4rhkyw>	<Gianfranco_Fini>	<infobox/en/type>	"officeholder"@en
<id_1vo5vis_1qm_4rhkyw>	<Giorgio_Napolitano>	<infobox/en/type>	"officeholder"@en
<id_1rnvp37_1qm_4rhkyw>	<Giuliano_Amato>	<infobox/en/type>	"officeholder"@en
<id_1bclsii_1qm_4rhkyw>	<Giulio_Tremonti>	<infobox/en/type>	"officeholder"@en
<id_1q29rbl_1qm_1ojb7kx>	<Italian_Chamber_of_Deputies>	<infobox/en/type>	"parliament"@en
<id_1kw13uu_1qm_oiikmf>	<Kingdom_of_Italy_(1861–1946)>	<infobox/en/type>	"former country"@en
<id_184v0j1_1qm_1c1k4di>	<Lamberto_Dini>	<infobox/en/type>	"prime minister"@en
<id_10q4wvf_1qm_bdtl1i>	<Lazio>	<infobox/en/type>	"region of italy"@en
<id_1qfjlq_1qm_bdtl1i>	<Lombardy>	<infobox/en/type>	"region of italy"@en
<id_4o2xc6_1qm_4rhkyw>	<Mario_Monti>	<infobox/en/type>	"officeholder"@en
<id_10qtisd_1qm_i0x5uz>	<Milan>	<infobox/en/type>	"italian comune"@en
<id_2ox8i9_1qm_bdtl1i>	<Molise>	<infobox/en/type>	"region of italy"@en
<id_1re08hr_1qm_kbo2io>	<Oscar_Luigi_Scalfaro>	<infobox/en/type>	"president"@en
<id_93sgke_1qm_4rhkyw>	<Roberto_Maroni>	<infobox/en/type>	"officeholder"@en
<id_1uqzhxh_1qm_4rhkyw>	<Romano_Prodi>	<infobox/en/type>	"officeholder"@en
<id_wz05y3_1qm_4rhkyw>	<Silvio_Berlusconi>	<infobox/en/type>	"officeholder"@en
<id_zuuepc_1qm_vbv6yr>	<The_People_of_Freedom>	<infobox/en/type>	"political party"@en
<id_prkzmu_1qm_12n9zf2>	<University_of_Milan>	<infobox/en/type>	"university"@en
<id_7qjadl_1qm_j443md>	<Veronica_Lario>	<infobox/en/type>	"person"@en
<id_11qatgv_1qm_4rhkyw>	<Cherie_Blair>	<infobox/en/type>	"officeholder"@en
<id_z038xo_1qm_10qifjd>	<Edinburgh>	<infobox/en/type>	"settlement"@en
<id_z038xo_1qm_1d0c14q>	<Edinburgh>	<infobox/en/type>	"world heritage site"@en
<id_13977z3_1qm_1mheh8s>	<Elizabeth_II>	<infobox/en/type>	"royalty"@en
<id_1e3a5c8_1qm_4rhkyw>	<Frank_Dobson>	<infobox/en/type>	"officeholder"@en
<id_max52o_1qm_1c1k4di>	<Gordon_Brown>	<infobox/en/type>	"prime minister"@en
<id_177pmny_1qm_ub7eeq>	<Inns_of_Court_School_of_Law>	<infobox/en/type>	"law school"@en
<id_g6y5dz_1qm_4rhkyw>	<Jack_Straw>	<infobox/en/type>	"officeholder"@en
<id_1xvi8at_1qm_4rhkyw>	<John_Major>	<infobox/en/type>	"officeholder"@en
<id_1x8chcg_1qm_e8iba3>	<John_Prescott>	<infobox/en/type>	"deputy prime minister"@en
<id_4ftjb3_1qm_4rhkyw>	<John_Smith_(Labour_Party_leader)>	<infobox/en/type>	"officeholder"@en
<id_10cbk3o_1qm_vbv6yr>	<Labour_Party_(UK)>	<infobox/en/type>	"political party"@en
<id_16vp284_1qm_4rhkyw>	<Margaret_Beckett>	<infobox/en/type>	"officeholder"@en
<id_27r2yr_1qm_4rhkyw>	<Michael_Meacher>	<infobox/en/type>	"officeholder"@en
<id_7fm9w4_1qm_1xojl50>	<Neil_Kinnock>	<infobox/en/type>	"politician"@en
<id_104s7no_1qm_zik3oj>	<Phil_Wilson_(British_politician)>	<infobox/en/type>	"mp"@en
<id_1jce2gm_1qm_4rhkyw>	<Roy_Hattersley>	<infobox/en/type>	"officeholder"@en
<id_lwoiij_1qm_1f1424p>	<Sedgefield_(UK_Parliament_constituency)>	<infobox/en/type>	"uk constituency main"@en
<id_1bx19fo_1qm_1iksom3>	<St_John's_College,_Oxford>	<infobox/en/type>	"oxford college"@en
<id_gg7cuf_1qm_4rhkyw>	<Tony_Blair>	<infobox/en/type>	"officeholder"@en
<id_17c51vo_1qm_1j0gf8z>	<World_Economic_Forum>	<infobox/en/type>	"organization"@en
<id_1fpq28n_1qm_4rhkyw>	<Angela_Merkel>	<infobox/en/type>	"officeholder"@en
<id_18367vn_1qm_wmv5sx>	<Bundestag>	<infobox/en/type>	"legislature"@en
<id_1cpbvlf_1qm_zdpbkz>	<Chancellor_of_Germany>	<infobox/en/type>	"political post"@en
<id_t9jepg_1qm_vbv6yr>	<Christian_Democratic_Union_(Germany)>	<infobox/en/type>	"political party"@en
<id_jr01l4_1qm_4rhkyw>	<Christian_Wulff>	<infobox/en/type>	"officeholder"@en
<id_tu1ps7_1qm_85dk4s>	<Evangelical_Church_in_Germany>	<infobox/en/type>	"christian denomination"@en
<id_ht3f3u_1qm_4rhkyw>	<Frank-Walter_Steinmeier>	<infobox/en/type>	"officeholder"@en
<id_gh6929_1qm_1xojl50>	<Franz_Müntefering>	<infobox/en/type>	"politician"@en
<id_107bpbp_1qm_4rhkyw>	<Gerhard_Schröder>	<infobox/en/type>	"officeholder"@en
<id_1ps9evn_1qm_1fcto5y>	<Germany>	<infobox/en/type>	"country"@en
