	<yagoTheme_coordinateSources>	<hasGloss>	"Test Sources for coordinate facts from Wikipedia INTERNAL"
<id_1xpo1n2_115_36rs0o>	<id_17gzuo3_1n8_k7i07k>	<extractionSource>	<http://en.wikipedia.org/wiki/Paris_West_University_Nanterre_La_D%C3%A9fense>
	<id_1xpo1n2_115_36rs0o>	<extractionTechnique>	"CoordinateExtractor"
<id_1410i0e_115_36rs0o>	<id_17gzuo3_jto_1raa0pl>	<extractionSource>	<http://en.wikipedia.org/wiki/Paris_West_University_Nanterre_La_D%C3%A9fense>
	<id_1410i0e_115_36rs0o>	<extractionTechnique>	"CoordinateExtractor"
<id_1h4w991_115_1rdbetf>	<id_w2djwz_1n8_1lh0fhu>	<extractionSource>	<http://en.wikipedia.org/wiki/Congress_of_Deputies_%28Spain%29>
	<id_1h4w991_115_1rdbetf>	<extractionTechnique>	"CoordinateExtractor"
<id_auj169_115_1rdbetf>	<id_w2djwz_jto_90n9jh>	<extractionSource>	<http://en.wikipedia.org/wiki/Congress_of_Deputies_%28Spain%29>
	<id_auj169_115_1rdbetf>	<extractionTechnique>	"CoordinateExtractor"
<id_gshfjr_115_apmb51>	<id_1u5uyhb_1n8_zji9s2>	<extractionSource>	<http://en.wikipedia.org/wiki/Francoist_Spain>
	<id_gshfjr_115_apmb51>	<extractionTechnique>	"CoordinateExtractor"
<id_1yaio1i_115_apmb51>	<id_1u5uyhb_jto_1lktooh>	<extractionSource>	<http://en.wikipedia.org/wiki/Francoist_Spain>
	<id_1yaio1i_115_apmb51>	<extractionTechnique>	"CoordinateExtractor"
<id_1485wrc_115_zjt377>	<id_cacb9n_1n8_1byfggc>	<extractionSource>	<http://en.wikipedia.org/wiki/University_of_Le%C3%B3n>
	<id_1485wrc_115_zjt377>	<extractionTechnique>	"CoordinateExtractor"
<id_uzvwld_115_zjt377>	<id_cacb9n_jto_1wqe26b>	<extractionSource>	<http://en.wikipedia.org/wiki/University_of_Le%C3%B3n>
	<id_uzvwld_115_zjt377>	<extractionTechnique>	"CoordinateExtractor"
