	<yagoTheme_infoboxTermsToBeRedirected_de>	<hasGloss>	"Test The attribute facts of the Wikipedia infoboxes, split into terms, still to be redirected. INTERNAL"	
	<de/Arsen>	<infobox/de/modifikationen>	"3"^^xsd:integer	3
	<de/Arsen>	<infobox/de/mohshärte>	"3.5"^^xsd:decimal	3.5
	<de/Arsen>	<infobox/de/molaresvolumen>	"12.95"^^xsd:decimal	12.95
	<de/Arsen>	<infobox/de/molaresvolumen>	"10"^^xsd:integer	10
	<de/Arsen>	<infobox/de/molaresvolumen>	"6"^^xsd:integer	6
	<de/Arsen>	<infobox/de/name>	"Arsen"	
	<de/Arsen>	<infobox/de/normalpotential>	<de/Volt>	
	<de/Arsen>	<infobox/de/normalpotential>	"240"^^xsd:integer	240
	<de/Arsen>	<infobox/de/normalpotential>	"2"^^xsd:integer	2
	<de/Arsen>	<infobox/de/normalpotential>	"3"^^xsd:integer	3
	<de/Arsen>	<infobox/de/normalpotential>	"10800"^^<s>	10800
	<de/Arsen>	<infobox/de/normalpotential>	"1"^^xsd:integer	1
	<de/Arsen>	<infobox/de/normalpotential>	"V"	
	<de/Arsen>	<infobox/de/normalpotential>	"240-##-##"^^xsd:date	240.0000
	<de/Arsen>	<infobox/de/ordnungszahl>	"33"^^xsd:integer	33
	<de/Arsen>	<infobox/de/ordnungszahl>	"33"	
	<de/Arsen>	<infobox/de/oxidationszustände>	"3"^^xsd:integer	3
	<de/Arsen>	<infobox/de/oxidationszustände>	"5"^^xsd:integer	5
	<de/Arsen>	<infobox/de/oxide>	"2"^^xsd:integer	2
	<de/Arsen>	<infobox/de/oxide>	"3"^^xsd:integer	3
	<de/Arsen>	<infobox/de/p>	"261"^^xsd:integer	261
	<de/Arsen>	<infobox/de/p>	"273"^^xsd:integer	273
	<de/Arsen>	<infobox/de/p>	"301"^^xsd:integer	301
	<de/Arsen>	<infobox/de/p>	"310"^^xsd:integer	310
	<de/Arsen>	<infobox/de/p>	"311"^^xsd:integer	311
	<de/Arsen>	<infobox/de/p>	"501"^^xsd:integer	501
	<de/Arsen>	<infobox/de/p>	"261-##-##"^^xsd:date	261.0000
	<de/Arsen>	<infobox/de/p>	"273-##-##"^^xsd:date	273.0000
	<de/Arsen>	<infobox/de/p>	"301-##-##"^^xsd:date	301.0000
	<de/Arsen>	<infobox/de/p>	"310-##-##"^^xsd:date	310.0000
	<de/Arsen>	<infobox/de/p>	"311-##-##"^^xsd:date	311.0000
	<de/Arsen>	<infobox/de/p>	"501-##-##"^^xsd:date	501.0000
	<de/Arsen>	<infobox/de/periode>	"4"^^xsd:integer	4
	<de/Arsen>	<infobox/de/quellegefstkz>	"7440"^^xsd:integer	7440
	<de/Arsen>	<infobox/de/quellegefstkz>	"-38"^^xsd:integer	-38
	<de/Arsen>	<infobox/de/quellegefstkz>	"-2"^^xsd:integer	-2
	<de/Arsen>	<infobox/de/quellegefstkz>	"8280"^^xsd:integer	8280
	<de/Arsen>	<infobox/de/quelleghskz>	"7440"^^xsd:integer	7440
	<de/Arsen>	<infobox/de/quelleghskz>	"-38"^^xsd:integer	-38
	<de/Arsen>	<infobox/de/quelleghskz>	"-2"^^xsd:integer	-2
	<de/Arsen>	<infobox/de/quelleghskz>	"8280"^^xsd:integer	8280
	<de/Arsen>	<infobox/de/r>	"23"^^xsd:integer	23
	<de/Arsen>	<infobox/de/r>	"25"^^xsd:integer	25
	<de/Arsen>	<infobox/de/r>	"50"^^xsd:integer	50
	<de/Arsen>	<infobox/de/r>	"53"^^xsd:integer	53
	<de/Arsen>	<infobox/de/s>	"1"^^xsd:integer	1
	<de/Arsen>	<infobox/de/s>	"2"^^xsd:integer	2
	<de/Arsen>	<infobox/de/s>	"20"^^xsd:integer	20
	<de/Arsen>	<infobox/de/s>	"21"^^xsd:integer	21
	<de/Arsen>	<infobox/de/s>	"28"^^xsd:integer	28
	<de/Arsen>	<infobox/de/s>	"45"^^xsd:integer	45
	<de/Arsen>	<infobox/de/s>	"60"^^xsd:integer	60
	<de/Arsen>	<infobox/de/s>	"61"^^xsd:integer	61
	<de/Arsen>	<infobox/de/schmelzwärme>	"27.7"^^xsd:decimal	27.7
	<de/Arsen>	<infobox/de/serie>	"Hm"	
	<de/Arsen>	<infobox/de/spezifischewärmekapazität>	"328.5"^^xsd:decimal	328.5
	<de/Arsen>	<infobox/de/spezifischewärmekapazität>	"328-##-##"^^xsd:date	328.0000
	<de/Arsen>	<infobox/de/sublimationspunktc>	"613"^^xsd:integer	613
	<de/Arsen>	<infobox/de/sublimationspunktc>	"613"	
	<de/Arsen>	<infobox/de/sublimationspunktc>	"613-##-##"^^xsd:date	613.0000
	<de/Arsen>	<infobox/de/sublimationspunktk>	"886"^^xsd:integer	886
	<de/Arsen>	<infobox/de/sublimationspunktk>	"886"	
	<de/Arsen>	<infobox/de/sublimationspunktk>	"886-##-##"^^xsd:date	886.0000
	<de/Arsen>	<infobox/de/symbol>	"As"	
	<de/Arsen>	<infobox/de/vanderwaalsradius>	"185"^^xsd:integer	185
	<de/Arsen>	<infobox/de/vanderwaalsradius>	"185"	
	<de/Arsen>	<infobox/de/vanderwaalsradius>	"185-##-##"^^xsd:date	185.0000
	<de/Arsen>	<infobox/de/verdampfungswärme>	"32.4"^^xsd:decimal	32.4
	<de/Arsen>	<infobox/de/wärmeleitfähigkeit>	"50"^^xsd:integer	50
	<de/Arsen>	<infobox/de/wärmeleitfähigkeit>	"50"	
	<de/Arsen>	<infobox/de/code>	"57.0"^^xsd:decimal	57.0
	<de/Astat>	<infobox/de/aggregatzustand>	"fest"	
	<de/Astat>	<infobox/de/atommasse>	"2099871"^^xsd:integer	2099871
	<de/Astat>	<infobox/de/atommasse>	"209-##-##"^^xsd:date	209.0000
	<de/Astat>	<infobox/de/atomradiusberechnet>	"127"^^xsd:integer	127
	<de/Astat>	<infobox/de/atomradiusberechnet>	"127"	
	<de/Astat>	<infobox/de/atomradiusberechnet>	"127-##-##"^^xsd:date	127.0000
	<de/Astat>	<infobox/de/aussehen>	"metallisch"	
	<de/Astat>	<infobox/de/cas>	"7440"^^xsd:integer	7440
	<de/Astat>	<infobox/de/cas>	"-68"^^xsd:integer	-68
	<de/Astat>	<infobox/de/cas>	"-8"^^xsd:integer	-8
	<de/Astat>	<infobox/de/elektronegativität>	"2.2"^^xsd:decimal	2.2
	<de/Astat>	<infobox/de/elektronenkonfiguration>	<de/Xenon>	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	<de/F-Orbital>	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	<de/D-Orbital>	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	<de/S-Orbital>	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	<de/P-Orbital>	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"4"^^xsd:integer	4
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"14"^^xsd:integer	14
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"5"^^xsd:integer	5
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"10"^^xsd:integer	10
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"6"^^xsd:integer	6
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"2"^^xsd:integer	2
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"Xe"	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"f"	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"d"	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"s"	
	<de/Astat>	<infobox/de/elektronenkonfiguration>	"p"	
	<de/Astat>	<infobox/de/gruppe>	"17"^^xsd:integer	17
	<de/Astat>	<infobox/de/gruppe>	"17"	
	<de/Astat>	<infobox/de/ionisierungsenergie>	"920"^^xsd:integer	920
	<de/Astat>	<infobox/de/ionisierungsenergie>	"920"	
	<de/Astat>	<infobox/de/ionisierungsenergie>	"920-##-##"^^xsd:date	920.0000
	<de/Astat>	<infobox/de/isotope>	<de/Stunde>	
	<de/Astat>	<infobox/de/isotope>	<de/Elektronen-Einfang>	
	<de/Astat>	<infobox/de/isotope>	<de/Polonium>	
	<de/Astat>	<infobox/de/isotope>	<de/Alphastrahlung>	
	<de/Astat>	<infobox/de/isotope>	<de/Bismut>	
	<de/Astat>	<infobox/de/isotope>	<de/Betastrahlung>	
	<de/Astat>	<infobox/de/isotope>	<de/Radon>	
	<de/Astat>	<infobox/de/isotope>	<de/Sekunde>	
	<de/Astat>	<infobox/de/isotope>	<de/Minute>	
	<de/Astat>	<infobox/de/isotope>	"2"^^xsd:integer	2
	<de/Astat>	<infobox/de/isotope>	"209"^^xsd:integer	209
	<de/Astat>	<infobox/de/isotope>	"0"^^xsd:integer	0
	<de/Astat>	<infobox/de/isotope>	"5.41"^^xsd:decimal	5.41
	<de/Astat>	<infobox/de/isotope>	"1"^^xsd:integer	1
	<de/Astat>	<infobox/de/isotope>	"3486"^^xsd:integer	3486
	<de/Astat>	<infobox/de/isotope>	"5757"^^xsd:integer	5757
	<de/Astat>	<infobox/de/isotope>	"205"^^xsd:integer	205
	<de/Astat>	<infobox/de/isotope>	"210"^^xsd:integer	210
	<de/Astat>	<infobox/de/isotope>	"8.3"^^xsd:decimal	8.3
	<de/Astat>	<infobox/de/isotope>	"3981"^^xsd:integer	3981
	<de/Astat>	<infobox/de/isotope>	"5631"^^xsd:integer	5631
	<de/Astat>	<infobox/de/isotope>	"206"^^xsd:integer	206
	<de/Astat>	<infobox/de/isotope>	"211"^^xsd:integer	211
	<de/Astat>	<infobox/de/isotope>	"7124"^^xsd:integer	7124
	<de/Astat>	<infobox/de/isotope>	"786"^^xsd:integer	786
	<de/Astat>	<infobox/de/isotope>	"5982"^^xsd:integer	5982
	<de/Astat>	<infobox/de/isotope>	"207"^^xsd:integer	207
	<de/Astat>	<infobox/de/isotope>	"3"^^xsd:integer	3
	<de/Astat>	<infobox/de/isotope>	"212"^^xsd:integer	212
	<de/Astat>	<infobox/de/isotope>	"314"^^<s>	314
	<de/Astat>	<infobox/de/isotope>	"1754"^^xsd:integer	1754
	<de/Astat>	<infobox/de/isotope>	"7829"^^xsd:integer	7829
	<de/Astat>	<infobox/de/isotope>	"208"^^xsd:integer	208
	<de/Astat>	<infobox/de/isotope>	"43"^^xsd:integer	43
	<de/Astat>	<infobox/de/isotope>	"213"^^xsd:integer	213
	<de/Astat>	<infobox/de/isotope>	"0.000000125"^^<s>	0.000000125
	<de/Astat>	<infobox/de/isotope>	"9.254"^^xsd:decimal	9.254
	<de/Astat>	<infobox/de/isotope>	"214"^^xsd:integer	214
	<de/Astat>	<infobox/de/isotope>	"0.000000558"^^<s>	0.000000558
	<de/Astat>	<infobox/de/isotope>	"8.987"^^xsd:decimal	8.987
	<de/Astat>	<infobox/de/isotope>	"215"^^xsd:integer	215
	<de/Astat>	<infobox/de/isotope>	"-1"^^xsd:integer	-1
	<de/Astat>	<infobox/de/isotope>	"0.10"^^xsd:decimal	0.10
	<de/Astat>	<infobox/de/isotope>	"8178"^^xsd:integer	8178
	<de/Astat>	<infobox/de/isotope>	"218"^^xsd:integer	218
	<de/Astat>	<infobox/de/isotope>	"1.5"^^xsd:decimal	1.5
	<de/Astat>	<infobox/de/isotope>	"99.90"^^<%>	99.90
	<de/Astat>	<infobox/de/isotope>	"6874"^^xsd:integer	6874
	<de/Astat>	<infobox/de/isotope>	"0.10"^^<%>	0.10
	<de/Astat>	<infobox/de/isotope>	"2883"^^xsd:integer	2883
	<de/Astat>	<infobox/de/isotope>	"219"^^xsd:integer	219
	<de/Astat>	<infobox/de/isotope>	"56"^^xsd:integer	56
	<de/Astat>	<infobox/de/isotope>	"97"^^<%>	97
	<de/Astat>	<infobox/de/isotope>	"6390"^^xsd:integer	6390
	<de/Astat>	<infobox/de/isotope>	"3"^^<%>	3
	<de/Astat>	<infobox/de/isotope>	"1700"^^xsd:integer	1700
	<de/Astat>	<infobox/de/isotope>	"220"^^xsd:integer	220
	<de/Astat>	<infobox/de/isotope>	"3.71"^^xsd:decimal	3.71
	<de/Astat>	<infobox/de/isotope>	"9900"^^xsd:integer	9900
	<de/Astat>	<infobox/de/isotope>	"h"	
	<de/Astat>	<infobox/de/isotope>	"ε"	
	<de/Astat>	<infobox/de/isotope>	"<sup>209</sup>Po"	
	<de/Astat>	<infobox/de/isotope>	"α"	
	<de/Astat>	<infobox/de/isotope>	"<sup>205</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>210</sup>Po"	
	<de/Astat>	<infobox/de/isotope>	"<sup>206</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>211</sup>Po"	
	<de/Astat>	<infobox/de/isotope>	"<sup>207</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>212</sup>Po"	
	<de/Astat>	<infobox/de/isotope>	"<sup>208</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"β<sup>−</sup>"	
	<de/Astat>	<infobox/de/isotope>	"<sup>212</sup>Rn"	
	<de/Astat>	<infobox/de/isotope>	"<sup>209</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>210</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"ms"	
	<de/Astat>	<infobox/de/isotope>	"<sup>211</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"s"	
	<de/Astat>	<infobox/de/isotope>	"<sup>214</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>218</sup>Rn"	
	<de/Astat>	<infobox/de/isotope>	"<sup>215</sup>Bi"	
	<de/Astat>	<infobox/de/isotope>	"<sup>219</sup>Rn"	
	<de/Astat>	<infobox/de/isotope>	"min"	
	<de/Astat>	<infobox/de/isotope>	"<sup>220</sup>Rn"	
	<de/Astat>	<infobox/de/isotope>	"209-##-##"^^xsd:date	209.0000
	<de/Astat>	<infobox/de/isotope>	"486-##-##"^^xsd:date	486.0000
	<de/Astat>	<infobox/de/isotope>	"757-##-##"^^xsd:date	757.0000
	<de/Astat>	<infobox/de/isotope>	"205-##-##"^^xsd:date	205.0000
	<de/Astat>	<infobox/de/isotope>	"210-##-##"^^xsd:date	210.0000
	<de/Astat>	<infobox/de/isotope>	"981-##-##"^^xsd:date	981.0000
	<de/Astat>	<infobox/de/isotope>	"631-##-##"^^xsd:date	631.0000
	<de/Astat>	<infobox/de/isotope>	"206-##-##"^^xsd:date	206.0000
	<de/Astat>	<infobox/de/isotope>	"211-##-##"^^xsd:date	211.0000
	<de/Astat>	<infobox/de/isotope>	"124-##-##"^^xsd:date	124.0000
	<de/Astat>	<infobox/de/isotope>	"786-##-##"^^xsd:date	786.0000
	<de/Astat>	<infobox/de/isotope>	"982-##-##"^^xsd:date	982.0000
	<de/Astat>	<infobox/de/isotope>	"207-##-##"^^xsd:date	207.0000
	<de/Astat>	<infobox/de/isotope>	"212-##-##"^^xsd:date	212.0000
	<de/Astat>	<infobox/de/isotope>	"314-##-##"^^xsd:date	314.0000
	<de/Astat>	<infobox/de/isotope>	"754-##-##"^^xsd:date	754.0000
	<de/Astat>	<infobox/de/isotope>	"829-##-##"^^xsd:date	829.0000
	<de/Astat>	<infobox/de/isotope>	"208-##-##"^^xsd:date	208.0000
	<de/Astat>	<infobox/de/isotope>	"213-##-##"^^xsd:date	213.0000
	<de/Astat>	<infobox/de/isotope>	"125-##-##"^^xsd:date	125.0000
	<de/Astat>	<infobox/de/isotope>	"254-##-##"^^xsd:date	254.0000
	<de/Astat>	<infobox/de/isotope>	"214-##-##"^^xsd:date	214.0000
	<de/Astat>	<infobox/de/isotope>	"558-##-##"^^xsd:date	558.0000
	<de/Astat>	<infobox/de/isotope>	"987-##-##"^^xsd:date	987.0000
	<de/Astat>	<infobox/de/isotope>	"215-##-##"^^xsd:date	215.0000
	<de/Astat>	<infobox/de/isotope>	"178-##-##"^^xsd:date	178.0000
	<de/Astat>	<infobox/de/isotope>	"218-##-##"^^xsd:date	218.0000
	<de/Astat>	<infobox/de/isotope>	"874-##-##"^^xsd:date	874.0000
	<de/Astat>	<infobox/de/isotope>	"883-##-##"^^xsd:date	883.0000
	<de/Astat>	<infobox/de/isotope>	"219-##-##"^^xsd:date	219.0000
	<de/Astat>	<infobox/de/isotope>	"390-##-##"^^xsd:date	390.0000
	<de/Astat>	<infobox/de/isotope>	"700-##-##"^^xsd:date	700.0000
	<de/Astat>	<infobox/de/isotope>	"220-##-##"^^xsd:date	220.0000
	<de/Astat>	<infobox/de/isotope>	"900-##-##"^^xsd:date	900.0000
	<de/Astat>	<infobox/de/kovalenterradius>	"150"^^xsd:integer	150
	<de/Astat>	<infobox/de/kovalenterradius>	"150"	
	<de/Astat>	<infobox/de/kovalenterradius>	"150-##-##"^^xsd:date	150.0000
	<de/Astat>	<infobox/de/massenanteil>	"3"^^xsd:integer	3
	<de/Astat>	<infobox/de/massenanteil>	"10"^^xsd:integer	10
	<de/Astat>	<infobox/de/massenanteil>	"21"^^xsd:integer	21
	<de/Astat>	<infobox/de/massenzahl>	"210"^^xsd:integer	210
	<de/Astat>	<infobox/de/massenzahl>	"210"	
	<de/Astat>	<infobox/de/massenzahl>	"210-##-##"^^xsd:date	210.0000
	<de/Astat>	<infobox/de/name>	"Astat"	
	<de/Astat>	<infobox/de/ordnungszahl>	"85"^^xsd:integer	85
	<de/Astat>	<infobox/de/ordnungszahl>	"85"	
	<de/Astat>	<infobox/de/oxidationszustände>	"1"^^xsd:integer	1
	<de/Astat>	<infobox/de/oxidationszustände>	"3"^^xsd:integer	3
	<de/Astat>	<infobox/de/oxidationszustände>	"5"^^xsd:integer	5
	<de/Astat>	<infobox/de/oxidationszustände>	"7"^^xsd:integer	7
	<de/Astat>	<infobox/de/periode>	"6"^^xsd:integer	6
	<de/Astat>	<infobox/de/quellegefstkz>	"NV"	
	<de/Astat>	<infobox/de/quelleghskz>	"NV"	
	<de/Astat>	<infobox/de/radioaktiv>	"Ja"	
	<de/Astat>	<infobox/de/schmelzpunktc>	"302"^^xsd:integer	302
	<de/Astat>	<infobox/de/schmelzpunktc>	"302"	
	<de/Astat>	<infobox/de/schmelzpunktc>	"302-##-##"^^xsd:date	302.0000
	<de/Astat>	<infobox/de/schmelzpunktk>	"575"^^xsd:integer	575
	<de/Astat>	<infobox/de/schmelzpunktk>	"575"	
	<de/Astat>	<infobox/de/schmelzpunktk>	"575-##-##"^^xsd:date	575.0000
	<de/Astat>	<infobox/de/schmelzwärme>	"6"^^xsd:integer	6
	<de/Astat>	<infobox/de/serie>	"Ha"	
	<de/Astat>	<infobox/de/symbol>	"At"	
	<de/Astat>	<infobox/de/vanderwaalsradius>	"202"^^xsd:integer	202
	<de/Astat>	<infobox/de/vanderwaalsradius>	"202"	
	<de/Astat>	<infobox/de/vanderwaalsradius>	"202-##-##"^^xsd:date	202.0000
	<de/Astat>	<infobox/de/verdampfungswärme>	"40"^^xsd:integer	40
	<de/Astat>	<infobox/de/wärmeleitfähigkeit>	"2"^^xsd:integer	2
	<de/Alkalimetalle>	<infobox/de/gruppe>	"Am"	
	<de/Alkalimetalle>	<infobox/de/gruppea>	"Alkalimetalle"	
	<de/Alkalimetalle>	<infobox/de/gruppen>	"Erdalkalimetalle"	
	<de/Alkalimetalle>	<infobox/de/gruppev>	"Edelgase"	
	<de/Actinoide>	<infobox/de/gruppea>	"Actinoide"	
	<de/Actinoide>	<infobox/de/gruppen>	"Titangruppe"	
	<de/Actinoide>	<infobox/de/gruppev>	"Erdalkalimetalle"	
	<de/Americium>	<infobox/de/aggregatzustand>	"fest"	
	<de/Americium>	<infobox/de/atommasse>	"243061375"^^xsd:integer	243061375
	<de/Americium>	<infobox/de/atommasse>	"243-##-##"^^xsd:date	243.0000
	<de/Americium>	<infobox/de/atomradius>	"184"^^xsd:integer	184
	<de/Americium>	<infobox/de/atomradius>	"184"	
	<de/Americium>	<infobox/de/atomradius>	"184-##-##"^^xsd:date	184.0000
	<de/Americium>	<infobox/de/cas>	"7440"^^xsd:integer	7440
	<de/Americium>	<infobox/de/cas>	"-35"^^xsd:integer	-35
	<de/Americium>	<infobox/de/cas>	"-9"^^xsd:integer	-9
	<de/Americium>	<infobox/de/dichte>	"13.67"^^<g>	13.67
	<de/Americium>	<infobox/de/dichte>	"3"^^xsd:integer	3
	<de/Americium>	<infobox/de/elektrischeleitfähigkeit>	"147.1"^^xsd:decimal	147.1
	<de/Americium>	<infobox/de/elektrischeleitfähigkeit>	"147-##-##"^^xsd:date	147.0000
	<de/Americium>	<infobox/de/elektronegativität>	"1.3"^^xsd:decimal	1.3
	<de/Americium>	<infobox/de/elektronenkonfiguration>	<de/Radon>	
	<de/Americium>	<infobox/de/elektronenkonfiguration>	<de/F-Orbital>	
	<de/Americium>	<infobox/de/elektronenkonfiguration>	<de/S-Orbital>	
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"5"^^xsd:integer	5
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"7"^^xsd:integer	7
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"2"^^xsd:integer	2
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"Rn"	
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"f"	
	<de/Americium>	<infobox/de/elektronenkonfiguration>	"s"	
	<de/Americium>	<infobox/de/gruppe>	"Ac"	
	<de/Americium>	<infobox/de/ionisierungsenergie>	"578"^^xsd:integer	578
	<de/Americium>	<infobox/de/ionisierungsenergie>	"578"	
	<de/Americium>	<infobox/de/ionisierungsenergie>	"578-##-##"^^xsd:date	578.0000
	<de/Americium>	<infobox/de/isotope>	<de/Minute>	
	<de/Americium>	<infobox/de/isotope>	<de/Elektronen-Einfang>	
	<de/Americium>	<infobox/de/isotope>	<de/Plutonium>	
	<de/Americium>	<infobox/de/isotope>	<de/Alphastrahlung>	
	<de/Americium>	<infobox/de/isotope>	<de/Neptunium>	
	<de/Americium>	<infobox/de/isotope>	<de/Stunde>	
	<de/Americium>	<infobox/de/isotope>	<de/Jahr>	
	<de/Americium>	<infobox/de/isotope>	<de/Spontane_Spaltung>	
	<de/Americium>	<infobox/de/isotope>	<de/Betastrahlung>	
	<de/Americium>	<infobox/de/isotope>	<de/Curium>	
	<de/Americium>	<infobox/de/isotope>	<de/Isomerie-Übergang>	
	<de/Americium>	<infobox/de/isotope>	<de/Sekunde>	
	<de/Americium>	<infobox/de/isotope>	"2"^^xsd:integer	2
	<de/Americium>	<infobox/de/isotope>	"238"^^xsd:integer	238
	<de/Americium>	<infobox/de/isotope>	"0"^^xsd:integer	0
	<de/Americium>	<infobox/de/isotope>	"98"^^xsd:integer	98
	<de/Americium>	<infobox/de/isotope>	"1"^^xsd:integer	1
	<de/Americium>	<infobox/de/isotope>	"100"^^<%>	100
	<de/Americium>	<infobox/de/isotope>	"1.0"^^xsd:decimal	1.0
	<de/Americium>	<infobox/de/isotope>	"10"^^xsd:integer	10
	<de/Americium>	<infobox/de/isotope>	"4"^^xsd:integer	4
	<de/Americium>	<infobox/de/isotope>	"234"^^xsd:integer	234
	<de/Americium>	<infobox/de/isotope>	"239"^^xsd:integer	239
	<de/Americium>	<infobox/de/isotope>	"11.9"^^xsd:decimal	11.9
	<de/Americium>	<infobox/de/isotope>	"10"^^<%>	10
	<de/Americium>	<infobox/de/isotope>	"235"^^xsd:integer	235
	<de/Americium>	<infobox/de/isotope>	"240"^^xsd:integer	240
	<de/Americium>	<infobox/de/isotope>	"50.8"^^xsd:decimal	50.8
	<de/Americium>	<infobox/de/isotope>	"1.9"^^xsd:decimal	1.9
	<de/Americium>	<infobox/de/isotope>	"236"^^xsd:integer	236
	<de/Americium>	<infobox/de/isotope>	"241"^^xsd:integer	241
	<de/Americium>	<infobox/de/isotope>	"432.2"^^xsd:decimal	432.2
	<de/Americium>	<infobox/de/isotope>	"5486"^^xsd:integer	5486
	<de/Americium>	<infobox/de/isotope>	"237"^^xsd:integer	237
	<de/Americium>	<infobox/de/isotope>	"4.3"^^xsd:decimal	4.3
	<de/Americium>	<infobox/de/isotope>	"242"^^xsd:integer	242
	<de/Americium>	<infobox/de/isotope>	"16.02"^^xsd:decimal	16.02
	<de/Americium>	<infobox/de/isotope>	"82.7"^^<%>	82.7
	<de/Americium>	<infobox/de/isotope>	"665"^^xsd:integer	665
	<de/Americium>	<infobox/de/isotope>	"17.3"^^<%>	17.3
	<de/Americium>	<infobox/de/isotope>	"751"^^xsd:integer	751
	<de/Americium>	<infobox/de/isotope>	"3"^^xsd:integer	3
	<de/Americium>	<infobox/de/isotope>	"141"^^xsd:integer	141
	<de/Americium>	<infobox/de/isotope>	"49"^^xsd:integer	49
	<de/Americium>	<infobox/de/isotope>	"0.45"^^<%>	0.45
	<de/Americium>	<infobox/de/isotope>	"5637"^^xsd:integer	5637
	<de/Americium>	<infobox/de/isotope>	"4.7"^^xsd:decimal	4.7
	<de/Americium>	<infobox/de/isotope>	"9"^^xsd:integer	9
	<de/Americium>	<infobox/de/isotope>	"242"^^<m\u005e2>	242
	<de/Americium>	<infobox/de/isotope>	"14.0"^^<m>	14.0
	<de/Americium>	<infobox/de/isotope>	"7788"^^xsd:integer	7788
	<de/Americium>	<infobox/de/isotope>	"2.2"^^xsd:decimal	2.2
	<de/Americium>	<infobox/de/isotope>	"243"^^xsd:integer	243
	<de/Americium>	<infobox/de/isotope>	"7370"^^xsd:integer	7370
	<de/Americium>	<infobox/de/isotope>	"5438"^^xsd:integer	5438
	<de/Americium>	<infobox/de/isotope>	"244"^^xsd:integer	244
	<de/Americium>	<infobox/de/isotope>	"10.1"^^xsd:decimal	10.1
	<de/Americium>	<infobox/de/isotope>	"min"	
	<de/Americium>	<infobox/de/isotope>	"ε"	
	<de/Americium>	<infobox/de/isotope>	"<sup>238</sup>Pu"	
	<de/Americium>	<infobox/de/isotope>	"α"	
	<de/Americium>	<infobox/de/isotope>	"<sup>234</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"h"	
	<de/Americium>	<infobox/de/isotope>	"<sup>239</sup>Pu"	
	<de/Americium>	<infobox/de/isotope>	"<sup>235</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"<sup>240</sup>Pu"	
	<de/Americium>	<infobox/de/isotope>	"<sup>236</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"a"	
	<de/Americium>	<infobox/de/isotope>	"<sup>237</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"SF"	
	<de/Americium>	<infobox/de/isotope>	"β<sup>−</sup>"	
	<de/Americium>	<infobox/de/isotope>	"<sup>242</sup>Cm"	
	<de/Americium>	<infobox/de/isotope>	"<sup>242</sup>Pu"	
	<de/Americium>	<infobox/de/isotope>	"IT"	
	<de/Americium>	<infobox/de/isotope>	"<sup>238</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"s"	
	<de/Americium>	<infobox/de/isotope>	"<sup>239</sup>Np"	
	<de/Americium>	<infobox/de/isotope>	"238-##-##"^^xsd:date	238.0000
	<de/Americium>	<infobox/de/isotope>	"100-##-##"^^xsd:date	100.0000
	<de/Americium>	<infobox/de/isotope>	"234-##-##"^^xsd:date	234.0000
	<de/Americium>	<infobox/de/isotope>	"239-##-##"^^xsd:date	239.0000
	<de/Americium>	<infobox/de/isotope>	"235-##-##"^^xsd:date	235.0000
	<de/Americium>	<infobox/de/isotope>	"240-##-##"^^xsd:date	240.0000
	<de/Americium>	<infobox/de/isotope>	"236-##-##"^^xsd:date	236.0000
	<de/Americium>	<infobox/de/isotope>	"241-##-##"^^xsd:date	241.0000
	<de/Americium>	<infobox/de/isotope>	"432-##-##"^^xsd:date	432.0000
	<de/Americium>	<infobox/de/isotope>	"486-##-##"^^xsd:date	486.0000
	<de/Americium>	<infobox/de/isotope>	"237-##-##"^^xsd:date	237.0000
