// Test
// Facts checked by class followUp.TypeChecker
// INTERNAL

<id_y9qq7a_l7i_1nx0f7z>	<Campania>	<hasNumberOfPeople>	"5954882"^^xsd:integer
<id_y9qq7a_ice_j36i5p>	<Campania>	<hasWebsite>	<http://www.regione.campania.it>
<id_y9qq7a_ice_nhp74y>	<Campania>	<hasWebsite>	<http://www.regione.campania.it/>
<id_1gaoy63_1xk_1k1xbta>	<Carlo_Azeglio_Ciampi>	<wasBornOnDate>	"1920-12-09"^^xsd:date
<id_1gaoy63_88c_1kbo50g>	<Carlo_Azeglio_Ciampi>	rdf:type	<wordnet_politician_110451263>
<id_1gaoy63_88c_1x9tonu>	<Carlo_Azeglio_Ciampi>	rdf:type	<wordnet_economist_110043643>
<id_7r55ul_siu_wdv4o9>	<Forza_Italia>	<wasCreatedOnDate>	"1994-01-18"^^xsd:date
<id_1qqn7vt_1xk_tssrwn>	<Gianfranco_Fini>	<wasBornOnDate>	"1952-01-03"^^xsd:date
<id_1qqn7vt_88c_1x4861e>	<Gianfranco_Fini>	rdf:type	<wordnet_journalist_110224578>
<id_1qqn7vt_88c_1kbo50g>	<Gianfranco_Fini>	rdf:type	<wordnet_politician_110451263>
<id_1vo5vis_1xk_1mebgcs>	<Giorgio_Napolitano>	<wasBornOnDate>	"1925-06-29"^^xsd:date
<id_1rnvp37_1xk_1o8033e>	<Giuliano_Amato>	<wasBornOnDate>	"1938-05-13"^^xsd:date
<id_1bclsii_1xk_3c64x6>	<Giulio_Tremonti>	<wasBornOnDate>	"1947-08-18"^^xsd:date
<id_1bclsii_88c_1inhq0u>	<Giulio_Tremonti>	rdf:type	<wordnet_lawyer_110249950>
<id_1q29rbl_1ia_jb1na3>	<Italian_Chamber_of_Deputies>	rdfs:label	"Camera dei Deputati"
<id_1q29rbl_ice_5i8uej>	<Italian_Chamber_of_Deputies>	<hasWebsite>	<http://english.camera.it/>
<id_1kw13uu_1ia_10ot5dv>	<Kingdom_of_Italy_(1861–1946)>	rdfs:label	"Italy"
<id_184v0j1_1xk_siavic>	<Lamberto_Dini>	<wasBornOnDate>	"1931-03-01"^^xsd:date
<id_184v0j1_88c_1kbo50g>	<Lamberto_Dini>	rdf:type	<wordnet_politician_110451263>
<id_184v0j1_88c_1x9tonu>	<Lamberto_Dini>	rdf:type	<wordnet_economist_110043643>
<id_10q4wvf_l7i_1mxs6nm>	<Lazio>	<hasNumberOfPeople>	"5732212"^^xsd:integer
<id_10q4wvf_ice_qxndqs>	<Lazio>	<hasWebsite>	<http://www.regione.lazio.it>
